week_num,total_bikes_used,morning_bikes,evening_bikes,retained_bikes
0,816,586,744,816
1,932,873,911,932
2,938,880,919,938
3,939,902,923,939
4,935,899,923,935
5,946,873,924,946
6,947,910,932,947
7,925,905,910,925
8,974,945,960,974
9,981,962,972,981
10,987,967,982,986
11,980,941,975,979
12,986,953,979,986
13,988,955,980,988
14,987,959,983,987
15,977,932,973,977
16,979,943,973,979
17,983,955,980,983
18,975,951,969,975
19,980,945,968,980
20,978,942,971,978
21,974,946,964,974
22,967,940,964,967
23,972,955,960,972
24,968,941,956,968
25,959,935,953,959
26,963,938,954,963
27,952,928,943,952
28,961,928,947,961
29,955,930,945,955
30,957,923,942,957
31,950,912,937,950
32,954,912,943,954
33,955,917,936,955
34,959,930,949,959
35,962,943,951,962
36,965,947,955,965
37,966,942,955,966
38,964,946,961,964
39,965,949,957,965
40,972,954,963,969
41,962,938,953,962
42,966,945,960,965
43,960,927,949,959
44,965,943,957,964
45,958,929,945,958
46,954,920,929,954
47,945,902,924,944
48,942,897,920,942
49,934,898,918,934
50,929,857,903,929
51,923,836,895,923
52,902,796,866,902
53,172,102,108,172
