trip_period,rider_type,total_trips
Evening,Student Membership,157215
Evening,Local365,149490
Evening,U.T. Student Membership,102011
Evening,24 Hour Walk Up Pass,90302
Evening,Walk Up,83442
Evening,Local31,63482
Evening,Explorer,35932
Evening,Pay-as-you-ride,30172
Evening,Local30,22378
Evening,3-Day Weekender,16325
Evening,Single Trip (Pay-as-you-ride),13242
Evening,Weekender,12518
Evening,Local365+Guest Pass,5359
Evening,Single Trip ,4406
Evening,Founding Member,2288
Evening,7-Day,1985
Evening,3-Day Explorer,1700
Evening,Local365 ($80 plus tax),1487
Evening,Single Trip,1450
Evening,Semester Membership,1220
Evening,HT Ram Membership,1076
Evening,Single Trip Ride,1032
Evening,Local365- 1/2 off Anniversary Special,997
Evening,Annual,760
Evening,Unknown,713
Evening,Annual Membership,484
Evening,Local365 Youth (age 13-17 riders),354
Evening,Local30 ($11 plus tax),351
Evening,Annual ,234
Evening,Local365+Guest Pass- 1/2 off Anniversary Special,184
Evening,$1 Pay by Trip Winter Special,179
Evening,Try Before You Buy Special,177
Evening,Weekender ($15 plus tax),157
Evening,Annual Member,119
Evening,$1 Pay by Trip Fall Special,108
Evening,Annual Pass,90
Evening,Republic Rider (Annual),89
Evening,ACL Weekend Pass Special,71
Evening,Explorer ($8 plus tax),56
Evening,Annual Plus,44
Evening,ACL 2019 Pass,36
Evening,RideScout Single Tide,33
Evening,Aluminum Access,32
Evening,Local365 Youth with helmet (age 13-17 riders),27
Evening,Madtown Monthly,18
Evening,Annual Pass (Original),12
Evening,Annual Plus Membership,11
Evening,Heartland Pass (Annual Pay),7
Evening,FunFunFun Fest 3 Day Pass,6
Evening,Membership: pay once  one-year commitment,5
Evening,UT Student Membership,4
Evening,Republic Rider,3
Evening,RideScout Single Ride,3
Evening,Local365 Youth (age 13-17 riders)- 1/2 off Special,2
Evening,Annual Membership ,1
Evening,Annual Pass (30 minute),1
Evening,"Membership: pay once, one-year commitment",1
Morning,Local365,106681
Morning,Student Membership,87199
Morning,U.T. Student Membership,53719
Morning,Walk Up,46331
Morning,24 Hour Walk Up Pass,44890
Morning,Local31,34445
Morning,Explorer,25977
Morning,Pay-as-you-ride,15599
Morning,Local30,15043
Morning,3-Day Weekender,11972
Morning,Weekender,8843
Morning,Single Trip (Pay-as-you-ride),5475
Morning,Local365+Guest Pass,4408
Morning,Unknown,2311
Morning,Single Trip ,1973
Morning,Founding Member,1697
Morning,3-Day Explorer,1562
Morning,Local365 ($80 plus tax),1223
Morning,7-Day,1182
Morning,Local365- 1/2 off Anniversary Special,905
Morning,Semester Membership,854
Morning,Single Trip,816
Morning,Single Trip Ride,798
Morning,Annual,486
Morning,Annual Membership,294
Morning,HT Ram Membership,284
Morning,Local30 ($11 plus tax),198
Morning,$1 Pay by Trip Winter Special,163
Morning,Try Before You Buy Special,151
Morning,Local365+Guest Pass- 1/2 off Anniversary Special,135
Morning,Annual ,123
Morning,Annual Member,122
Morning,Weekender ($15 plus tax),116
Morning,Republic Rider (Annual),100
Morning,$1 Pay by Trip Fall Special,89
Morning,Local365 Youth (age 13-17 riders),71
Morning,ACL 2019 Pass,59
Morning,Annual Plus,53
Morning,Annual Pass,48
Morning,Aluminum Access,41
Morning,Explorer ($8 plus tax),33
Morning,ACL Weekend Pass Special,33
Morning,RideScout Single Tide,24
Morning,Local365 Youth with helmet (age 13-17 riders),13
Morning,Denver B-cycle Founder,10
Morning,Annual Plus Membership,9
Morning,Annual Pass (Original),6
Morning,Madtown Monthly,5
Morning,Membership: pay once  one-year commitment,4
Morning,UT Student Membership,3
Morning,Republic Rider,3
Morning,FunFunFun Fest 3 Day Pass,3
Morning,Annual Membership ,2
Morning,Heartland Pass (Annual Pay),1
Morning,RESTRICTED,1
