time_period,end_station_name,trip_count
Evening,21st/Speedway @ PCL,40564
Evening,21st & Speedway @PCL,26376
Evening,Dean Keeton/Speedway,20111
Evening,21st/Guadalupe,17423
Evening,26th/Nueces,17086
Evening,Zilker Park,16179
Evening,28th/Rio Grande,14425
Evening,Dean Keeton/Whitis,14164
Evening,Plaza Saltillo,13747
Evening,Riverside/South Lamar,13655
Evening,Rainey/Cummings,13634
Evening,22nd/Pearl,12953
Evening,Guadalupe/West Mall @ University Co-op,12765
Evening,3rd/West,11573
Evening,2nd/Lavaca @ City Hall,10800
Evening,Electric Drive/Sandra Muraida Way @ Pfluger Ped Bridge,10074
Evening,5th/Bowie,9943
Evening,2nd/Congress,9802
Evening,Riverside @ S. Lamar,9193
Evening,4th/Congress,8892
